Title,Tag,URL
End-of-life care is vital. Why is it so neglected?,commentisfree,https://www.theguardian.com/commentisfree/2020/jan/31/end-of-life-care-britain-palliative-charity-public
"By axing Victoria Derbyshire, the BBC is losing a true champion of the powerless",commentisfree,https://www.theguardian.com/commentisfree/2020/jan/23/victoria-derbyshire-societys-victims-bbc-two-politicians
What my attacker’s conviction taught me about taking on the far right,commentisfree,https://www.theguardian.com/commentisfree/2020/jan/23/what-my-attackers-conviction-taught-me-about-far-right
Male rape survivors suffer in silence. We need to help them talk,commentisfree,https://www.theguardian.com/commentisfree/2020/jan/16/male-rape-victims-sexual-abuse-support
Meghan threatened to bring change. So she was hounded out,commentisfree,https://www.theguardian.com/commentisfree/2020/jan/13/meghan-duchess-of-sussex-hounded-out-media-progressive-values
Labour members want something new – not a return to New Labour,commentisfree,https://www.theguardian.com/commentisfree/2020/jan/08/labour-membership-doesnt-want-return-to-1997
Today in Focus  Owen Jones on toxic politics and becoming a target of abuse,news,https://www.theguardian.com/news/audio/2020/jan/08/owen-jones-toxic-politics-target-abuse
Shortcuts  Dancing on Ice’s first same-sex partnership is a milestone we should celebrate,world,https://www.theguardian.com/world/shortcuts/2020/jan/06/dancing-on-ice-first-same-sex-partnership-h-from-steps
"To move on, Labour must learn lessons from the left’s failure worldwide",commentisfree,https://www.theguardian.com/commentisfree/2020/jan/04/labour-left-failure-worldwide-election-defeat-global-trend
The Tories plan an assault on progressive Britain. The left must be prepared,commentisfree,https://www.theguardian.com/commentisfree/2019/dec/30/tory-right-assault-progressive-britain
Brexit and self-inflicted errors buried Labour in this election,commentisfree,https://www.theguardian.com/commentisfree/2019/dec/18/brexit-labour-election-corbyn-left
The Guardian UK: Politics Weekly  What happened on election night? – Politics Weekly Extra,politics,https://www.theguardian.com/politics/audio/2019/dec/13/what-happened-election-night-politics-weekly-extra-podcast
Today in Focus  Election 2019: what just happened?,news,https://www.theguardian.com/news/audio/2019/dec/13/election-2019-what-just-happened
Young people have been hit hard. Now they can rise up and reject Johnson,commentisfree,https://www.theguardian.com/commentisfree/2019/dec/11/young-people-boris-johnson-tories
"The panel  


  The Corbyn and Johnson TV debate: our writers’ verdicts",commentisfree,https://www.theguardian.com/commentisfree/2019/dec/06/final-election-debate-boris-johnson-jeremy-corbyn
The Tories do have policies. They just don’t want you to know what they are,commentisfree,https://www.theguardian.com/commentisfree/2019/dec/05/the-tories-do-have-policies-they-just-dont-want-you-to-know-what-they-are
"When Tory lies go unchallenged, democracy itself is in danger",commentisfree,https://www.theguardian.com/commentisfree/2019/dec/02/tory-lies-democracy-labour-danger
Labour needs its leave voters too – or a Johnson era beckons,commentisfree,https://www.theguardian.com/commentisfree/2019/nov/27/labour-election-leave-voters-boris-johnson-hard-brexit
"The panel  


  The Question Time leaders' special: our panel’s verdicts",commentisfree,https://www.theguardian.com/commentisfree/2019/nov/22/question-time-leaders-special-boris-johnson-jeremy-corbyn
Owen Jones: ‘They don’t want you to vote. Defy them’,global,https://www.theguardian.com/global/video/2019/nov/22/owen-jones-register-to-vote-general-election-26-november
